部屋主,取得日,順番,曲名（ファイル名）,作品名,歌手名,歌った人,コメント
けんちぃ部屋,2026/07/12,79,【本好きの下剋上 領主の養女】[ED]今も、ありがとう／生田絵梨花[On-Off]※bb296,,,ギン,
crom部屋,2026/07/12,79,CUE! - スタートライン (PV Ver.)／AiRBLUE『on-cut』※パート分け無し,,,オメガ,
けんちぃ部屋,2026/07/12,78,ray 超かぐや姫! Version【パート分け】,超かぐや姫! ED1,"月見ヤチヨ(CV:早見沙織),かぐや(CV:夏吉ゆうこ)",みぃちゃん,
crom部屋,2026/07/12,78,【灰原くんの強くてニューゲーム】「ドラマチック逃避行」[Ed][愛美][On-Off][アニメ][悠季],,,ゆーき,
芝ちゃん部屋,2026/07/12,77,ブルーバード【bb325】,NARUTO-ナルト-疾風伝 OP 3,いきものがかり,wako,よろしくお願いします！
けんちぃ部屋,2026/07/12,77,RESISTER,ソードアート・オンライン アリシゼーション OP,ASCA,けんちぃ,
crom部屋,2026/07/12,77,【くじびきアンバランス】「Harmonies」『』,,,みな,
芝ちゃん部屋,2026/07/12,76,ブルーウォーター,ふしぎの海のナディア OP,森川美穂,ぱにょ,
けんちぃ部屋,2026/07/12,76,【ヤニねこ】[OP]なんもねえ／忘れらんねえよ[On-Off]※コールむっちゃ入れました_bb354,,,けんちぃ,
crom部屋,2026/07/12,76,SHINY DAYS・亜咲花・ゆるキャン△・【onボーカル】,,,ぱにゃ,
ながし部屋,2026/07/12,75,逆様,氷の城壁 ED,ポルカドットスティングレイ,naoo,ラスト、3分ない曲を
芝ちゃん部屋,2026/07/12,75,[ED]崖の上のポニョ【{字幕パート分け}】,崖の上のポニョ,藤岡藤巻と大橋のぞみ,るえ,
けんちぃ部屋,2026/07/12,75,小休止,,,小休止,
crom部屋,2026/07/12,75,【神無き世界のカミサマ活動 OP】 I wish(cut&コーラス入-on) ／ 来栖りん_けんちぃ_388,,,crom,
ながし部屋,2026/07/12,74,星へ,灰原くんの強くて青春ニューゲーム IN,mishmash leftovers,ながし,
けんちぃ部屋,2026/07/12,74,ライオン【パート分け有】,マクロスF OP 1,"May'n,中島愛",れい,
crom部屋,2026/07/12,74,0369_げんし、女子は、たいようだった。(OnV),,,オメガ,
ながし部屋,2026/07/12,73,Pages,本好きの下剋上 4期OP,Little Glee Monster,はせ,
芝ちゃん部屋,2026/07/12,73,もうどうなってもいいや【ver3.1・最終話まで】,機動戦士Gundam GQuuuuuuX ED,星街すいせい,ひろえ,
けんちぃ部屋,2026/07/12,73,クロニクル,無職転生 ～異世界行ったら本気だす～ クロニクル・オブ・エコーズ 主題歌,大原ゆい子,けんちぃ,
crom部屋,2026/07/12,73,【ぼっち・ざ・ろっく！】[IN]忘れてやらない／結束バンド(On-Cut)【naoo】 キー変更：-2,,,ゆーき,
ながし部屋,2026/07/12,72,ドラマチック逃避行 キー変更：-2,灰原くんの強くて青春ニューゲーム ED,愛美,ゆーき,
芝ちゃん部屋,2026/07/12,72,Dearest,機動戦艦ナデシコ The prince of darkness ED,松澤由美,雪兎,
けんちぃ部屋,2026/07/12,72,ポケモンオールスターズ1025 (213/1025),ポケモンオールスターズ1025 (213/1025),オーイシマサヨシ,れい,ポケモンの名前が覚えられない。
crom部屋,2026/07/12,72,ガンダーラ【2ch off-on】(G) -ゴダイゴ -西遊記,,,みな,
ながし部屋,2026/07/12,71,メニメリ・メモリーズ!(パート分け)【ver2】,mono,シネフォト部(雨宮さつき(CV.三川華月)、霧山アン(CV.古賀葵)、敷島桜子(CV.遠野ひかる),千秋,歌える方お願いします！
芝ちゃん部屋,2026/07/12,71,欠片,味方が弱すぎて補助魔法に徹していた宮廷魔法師、追放されて最強を目指す ED,aruma,芝ちゃん,
けんちぃ部屋,2026/07/12,71,今日もサクラ舞う暁に キー変更：-2,HoneyWorks Zepp tour 2026,CHiCO with Honeyworks,ゆーき,
crom部屋,2026/07/12,71,【ぼっちざろっく（OP）】[青春コンプレックス]「結束バンド」(On-Off)(百合川),,,ぱにゃ,
ながし部屋,2026/07/12,70,最強ガール,夜のクラゲは泳げない IN,JELEE,naoo,JELEEアニマックス出るみたいですね
芝ちゃん部屋,2026/07/12,70,シリウス,キルラキル KILL LA KILL OP,藍井エイル,ぱにゃ,
けんちぃ部屋,2026/07/12,70,Utopia or Dystopia(cut&コーラス入-on)_青藍島ver【_SP】,年齢制限版】【ぬきたし THE ANIMATION OP,夢乃ゆき,みぃちゃん,
crom部屋,2026/07/12,70,【バーテンダー】バーテンダー／ナチュラル ハイ(on-UVRchorus-cut)※OP crm,,,crom,
ながし部屋,2026/07/12,69,渋谷アクアリウム キー変更：-3,夜のクラゲは泳げない IN,JELEE,ながし,
芝ちゃん部屋,2026/07/12,69,リボン【第9話まで】,メイドさんは食べるだけ OP,majiko,オメガ,
けんちぃ部屋,2026/07/12,69,白金サーキュレーション,化物語,花澤香菜(ON)※マッシュアップ,けんちぃ,
crom部屋,2026/07/12,69,【マクロスF】ライオン／May'n、中島愛(off-on)※パート分け,,,えみち,全員でいけるか…？
加古部屋,2026/07/12,69,一度だけの恋なら【FINAL LIVE TOUR 2023 ～Last Mission～Day1有明・パート分け有り】,マクロスΔ(デルタ) OP1,ワルキューレ,ひろえ,
ながし部屋,2026/07/12,68,修羅日記【Ver2】,異世界失格 OP,伊東歌詞太郎,はせ,
芝ちゃん部屋,2026/07/12,68,誓いはキュンと。【最終話まで】,逃がした魚は大きかったが釣りあげた魚が大きすぎた件 OP,"HoneyWorks,鈴木愛理",ひろえ,
けんちぃ部屋,2026/07/12,68,ファンサ,告白実行委員会シリーズ】【HoneyWorks,mona,タカヒロ,
crom部屋,2026/07/12,68,ファイトソング／Eve／チェンソーマン (VC-On) 【第12話ED】,,,あきらん,
加古部屋,2026/07/12,68,一度だけの恋なら(On-Semi-Mvc-Cut)※パート分け有り キー変更：-1,マクロスΔ(デルタ),ワルキューレ,ひろえ,
ながし部屋,2026/07/12,67,乙女怪獣(修正1)【※パート分け(放送前作成)】 キー変更：-2,乙女怪獣キャラメリゼ Op,METANICK,ゆーき,
芝ちゃん部屋,2026/07/12,67,佐藤朱美 - いとおしい人のために,,,雪兎,
けんちぃ部屋,2026/07/12,67,RHYTHM EMOTION,新機動戦記ガンダムW OP 2,TWO-MIX,れい,
crom部屋,2026/07/12,67,【超かぐや姫！】[ED]ray 超かぐや姫! Version（パート分け）／月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ)〔MVC-On-Off〕,,,crom,そういえばあきらんさんとこれうたったっけ？　夏吉やります。　ハモリ逆転するんだっけ？ 1750部屋移動
加古部屋,2026/07/12,67,,,,小休止,
ながし部屋,2026/07/12,66,Cusp【第7話まで】 キー変更：-2,黒猫と魔女の教室 OP,ASCA,千秋,
芝ちゃん部屋,2026/07/12,66,渇望(パート分け有),転生したらスライムだった件 第4期 ED,CiON,芝ちゃん,
けんちぃ部屋,2026/07/12,66,戦場の華(Live.ver) キー変更：-2,最後にひとつだけお願いしてもよろしいでしょうか Op,CHiCO with HoneyWorks,ゆーき,
crom部屋,2026/07/12,66,CHAINSAW BLOOD／Vaundy／チェンソーマン (VC-On) 【第1話ED】,,,wako,
加古部屋,2026/07/12,66,ひとりごつ,ちいかわ,田中誠人,みなぴー,
ながし部屋,2026/07/12,65,hate you? love you?【第9話まで】,神の雫 OP,HOKUTO,naoo,
芝ちゃん部屋,2026/07/12,65,夏咲き恋花火(パート分け有),このはな綺譚 ED2,棗(諏訪彩花)・蓮(久保田梨沙),ぱにゃ,
けんちぃ部屋,2026/07/12,65,COMIT COMET【超よわよわver._最終話まで】,よわよわ先生 OP,DAOKO,みぃちゃん,
crom部屋,2026/07/12,65,【マクロスΔ】LOVE! THUNDER GLOW／ワルキューレ（On-Semi-Mvc-Cut）,,,藤原,
加古部屋,2026/07/12,65,カラフル(3パート分け),劇場版 魔法少女まどか☆マギカ新編叛逆の物語 主題歌,ClariS,みな,
ながし部屋,2026/07/12,64,サブマリンユース(修正1),クラスで2番目に可愛い女の子と友達になった Op,reGretGirl,ながし,
芝ちゃん部屋,2026/07/12,64,New Walk【bb321】,左ききのエレン ED,紫今,オメガ,
けんちぃ部屋,2026/07/12,64,ローレライの詩,PSP シャイニング・ブレイド 主題歌,Lia,けんちぃ,
crom部屋,2026/07/12,64,【テイルズ オブ ゼスティリア ザ クロス】《OP》風ノ唄／スレイ(木村良平)ミクリオ(逢坂良太)【On-Off】※パート分け有・声優カバー,,,えみち,歌える方ミクリオお願いします！
加古部屋,2026/07/12,64,透明 キー変更：-2,氷の城壁 OP,Novelbright,レイフ,
ながし部屋,2026/07/12,63,朱く染めて心臓,怪異と乙女と神隠し ED,大渕野々花,はせ,
芝ちゃん部屋,2026/07/12,63,ポップ・スナック・ジャンクなHUNNY【簡易パート分け 4人版】,カナン様はあくまでチョロい ED,あおぎり高校,ひろえ,
けんちぃ部屋,2026/07/12,63,Against.,キミと僕の最後の戦場、あるいは世界が始まる聖戦 OP,石原夏織,タカヒロ,
crom部屋,2026/07/12,63,【日本三國】-キタニタツヤ-火種(cut-on)最終話まで,,,あきらん,
加古部屋,2026/07/12,63,Bubee【5人パート分け有_bb313】,魔法の姉妹ルルットリリィ OP,ILLIT,ブルーベリー,
ながし部屋,2026/07/12,62,ずっと1番にしてね キー変更：-2,クラスで2番目に可愛い女の子と友だちになった ED,コレサワ,ゆーき,
芝ちゃん部屋,2026/07/12,62,SHINING☆STAR,STAR DRIVER 輝きのタクト OP 2,9nine,雪兎,
けんちぃ部屋,2026/07/12,62,ひとりじゃない,ドラゴンボールGT ED TM,堂本剛,れい,
crom部屋,2026/07/12,62,【悪役令嬢は隣国の王太子に溺愛される】OP＿愛のファンファーレ／高垣彩陽 feat. 城田優[on-off-ハーフ]※パート分け,,,crom,
加古部屋,2026/07/12,62,感情旋律【※編集有り】,ゴーストコンサート : missing Songs IN,"相葉芹亜(CV:藤寺美徳),MiucS(CV:陶山恵実里)",レイフ,
ながし部屋,2026/07/12,61,永遠に一回の【最終話まで】,盾の勇者の成り上がり Season 4 ED,藤川千愛,千秋,
芝ちゃん部屋,2026/07/12,61,二人だけのメロディ,D.C.III～ダ・カーポIII～ In,yozuca,芝ちゃん,
けんちぃ部屋,2026/07/12,61,ポップ・スナック・ジャンクなHUNNY,カナン様はあくまでチョロい ED,あおぎり高校,みぃちゃん,練習したい♪
crom部屋,2026/07/12,61,【ダンジョン飯 OP2】 運命(cut&コーラス入-on) ／ sumika_けんちぃ_644,,,wako,
加古部屋,2026/07/12,61,ライオン【パート分け有】,マクロスF OP 1,"May'n,中島愛",みなぴー,5人とも歌えると信じたい。 オンボーカルです。
ながし部屋,2026/07/12,60,イチジク煙,スーパーの裏でヤニ吸うふたり OP,ずっと真夜中でいいのに。,naoo,本ターンよろしくお願いします
芝ちゃん部屋,2026/07/12,60,サマータイムゴースト,九龍ジェネリックロマンス OP,水曜日のカンパネラ,ぱにゃ,
けんちぃ部屋,2026/07/12,60,Realize!【パート分け】,プリパラ OP,i☆Ris,ゆーき,
crom部屋,2026/07/12,60,【地獄楽 第二期】［OP］かすかなはな／キタニタツヤ featuring BABYMETAL（On3種-Semi-Mvc-Off）※アニメ映像ver3.1・最終話まで・パート分け有り,,,藤原,誰かわかるやろとタカを括ります
加古部屋,2026/07/12,60,エアーマンが倒せない(Cover) キー変更：-2,ホロライブ IM,戌神ころね,みな,
ながし部屋,2026/07/12,59,"LAST IMPRESSION【公式MV,前奏バラード無しVer.】 キー変更：-3",新機動戦記ガンダムW Endless Waltz 特別篇 ED,TWO-MIX,ながし,
芝ちゃん部屋,2026/07/12,59,初恋モーメント,カナン様はあくまでチョロい OP,Faulieu.,オメガ,
けんちぃ部屋,2026/07/12,59,決意の唄,無職転生Ⅲ ～異世界行ったら本気だす～ OP,大原ゆい子,けんちぃ,
crom部屋,2026/07/12,59,【炎炎ノ消防隊 参ノ章】-西川貴教-Ignis -イグニス-(cut-on)最終話まで,,,えみち,
加古部屋,2026/07/12,59,なぜ?謎?!ANSWER【パート分け有_bb323】,名探偵プリキュア! ED,"熊田茜音,増井優花",ブルーベリー、みなぴー,
ながし部屋,2026/07/12,58,君は恋人(最終話編集),お隣の天使様にいつの間にか駄目人間にされていた件2 OP,オーイシマサヨシ,はせ,
芝ちゃん部屋,2026/07/12,58,マデュアル⇔ハート【_パート分け】,ヒロイン?聖女?いいえ、オールワークスメイドです(誇)! OP,メロディ・ウェーブ(CV.宮本侑芽)、ルシアナ・ルトルバーグ(CV.大久保瑠美),ひろえ,
けんちぃ部屋,2026/07/12,58,最最最高級のお世話して,才女のお世話することになりました OP,angela,タカヒロ,
crom部屋,2026/07/12,58,【春夏秋冬代行者 春の舞】[ED]花筏／Orangestar feat. 夏背〔Semi-MVC-On-Off〕,,,あきらん,
加古部屋,2026/07/12,58,Fantastic Conflict,きまぐれテンプテーション OP,小春めう,レイフ,
ながし部屋,2026/07/12,57,最最最高級のお世話して キー変更：-2,才女のお世話することになりました OP,angela,ゆーき,よろしくお願いします！
芝ちゃん部屋,2026/07/12,57,明日へのメロディー,,,雪兎,
けんちぃ部屋,2026/07/12,57,ターンAターン(opening version),∀ガンダム OP,西城秀樹,れい,
crom部屋,2026/07/12,57,【グランベルム】月を追う真夜中／藍井エイル(off-on),,,crom,
加古部屋,2026/07/12,57,RES∞NALIST,ゴーストコンサート : missing Songs IN,"相葉芹亜(CV:藤寺美徳),クレオパトラ(CV:日高里菜)",加古、みなぴー,
ながし部屋,2026/07/12,56,零【Ver2 最終話まで】 キー変更：-3,リィンカーネーションの花弁,Sizuk,千秋,よろしくお願いしまーす
芝ちゃん部屋,2026/07/12,56,恋々と…スローモーション,D.C.II ～ダ・カーポII～ In,CooRie,芝ちゃん,
けんちぃ部屋,2026/07/12,56,奇跡は起きない(アニメ1話のみ)パート分けVer2(on-off),骸骨騎士様、只今異世界へお出掛け中2期,DIALOGUE+,みぃちゃん,
crom部屋,2026/07/12,56,【よりぬき銀魂さん】「カートニアゴ」[OP][FLiP][VC][ON],,,wako,
加古部屋,2026/07/12,56,ゼッタイ歌姫宣言ッ!【パート分け有り】,プリンセッション・オーケストラ OP,オルケリア,みなぴー、加古、ブルーベリー,ゼッタイ3人は歌える人がいるはず。
芝ちゃん部屋,2026/07/12,55,晴る,葬送のフリーレン OP2,ヨルシカ,ぱにゃ,
けんちぃ部屋,2026/07/12,55,芽吹くとき,上伊那ぼたん、酔へる姿は百合の花 Op,yonige,ゆーき,
crom部屋,2026/07/12,55,NieRAutomata Ver1.1a - ブラックボックス／LiSA『on-off』,,,藤原,すみませんリベンジさせてくださいｗ
加古部屋,2026/07/12,55,マリン出航!! キー変更：-2,ホロライブ IM,宝鐘マリン,みな,
芝ちゃん部屋,2026/07/12,54,ハーモニー,霧尾ファンクラブ ED,a子,オメガ,
けんちぃ部屋,2026/07/12,54,[Bravely You／Lia]Charlotte[on-off]高画質,,,けんちぃ,
crom部屋,2026/07/12,54,【とんがり帽子のアトリエ】[OP]／風のアンセム(最終話編集)／Eve feat. suis from ヨルシカ／On-Off,,,えみち,
加古部屋,2026/07/12,54,六ノ輪【bb359】,牙刃道 OP,Chevon,ブルーベリー,随分時間がかかりましたが行けました
けんちぃ部屋,2026/07/12,53,GARANDO,ノーゲーム・ノーライフ,鈴木このみ,タカヒロ,
芝ちゃん部屋,2026/07/12,53,【とある科学の超電磁砲】「only my railgun]」OP][fripside][2tr off-On],,,ひろえ,
crom部屋,2026/07/12,53,転生したらスライムだった件 第4期 (off-UVRchorus-on) 絵空事【藍井エイル】※Ver3,,,あきらん,
加古部屋,2026/07/12,53,春を連れて,ましろ色シンフォニー SANA EDITION ED,Kotoha,レイフ,
けんちぃ部屋,2026/07/12,52,Love Song探して【DQ3】,ドラゴンクエストII 悪霊の神々,牧野アンナ,れい,
芝ちゃん部屋,2026/07/12,52,ぎょっぴーダンス,きんぎょ注意報! Ed,内田順子,芝ちゃん,
crom部屋,2026/07/12,52,【ソードアート・オンライン アリシゼーション War of Underworld】-LiSA-unlasting(off-on),,,crom,
加古部屋,2026/07/12,52,零-zero-【bb303】,スノウボールアース OP,tuki.,加古,
けんちぃ部屋,2026/07/12,51,Ephemeral【※アニメPV版】 キー変更：-2,魔法少女リリカルなのは EXCEEDS Ed,青木陽菜,ゆーき,よろしくお願いします
芝ちゃん部屋,2026/07/12,51,LEVEL5-Judgelight-,とある科学の超電磁砲 OP 2,fripSide,ぱにゃ,
crom部屋,2026/07/12,51,【一般曲】「はたらきたくない」[打首獄門同好会][VC][ON],,,wako,布教活動です
加古部屋,2026/07/12,51,Sunday Morning【パート分け有_bb259】,姫様“拷問”の時間です(第2期) OP,ILLIT,みなぴー、加古、ブルーベリー,オンボーカルで入ってます。6人パート分け？
芝ちゃん部屋,2026/07/12,50,Be mine!,世界征服～謀略のズヴィズダー～ OP,坂本真綾,オメガ,よろしくお願いします!
けんちぃ部屋,2026/07/12,50,小休止,,,小休止,
crom部屋,2026/07/12,50,NieRAutomata Ver1.1a 第2クール OP_ブラックボックス_LiSA_4CH -2ver,,,藤原,
加古部屋,2026/07/12,50,もう恋なんてしない,槇原敬之(Cover),天月,みな,
芝ちゃん部屋,2026/07/12,49,乙女怪獣【_パート分け】,乙女怪獣キャラメリゼ OP,METANICK,ひろえ,よろしくお願いします！
けんちぃ部屋,2026/07/12,49,For 4 Forever【4人 パート分けあり】,4人はそれぞれウソをつく ED,"田中ちえ美,村上奈津実,佐倉綾音,潘めぐみ",オメガ,
crom部屋,2026/07/12,49,【ゲーソン（３人パート分け済）】We can go now!(いを氏MAD)【イルミネーションスターズ 】【アイドルマスター シャイニーカラーズ 】【3tr on+台詞-on-cut】 キー変更：-3,,,えみち,よろしくお願いします！アニサマセトリ見たら今歌ってた
加古部屋,2026/07/12,49,なんもねえ【コールむっちゃ入れました_bb354】,ヤニねこ OP,忘れらんねえよ,ブルーベリー,
芝ちゃん部屋,2026/07/12,48,STORY,魔物喰らいの冒険者～俺だけ魔物を喰らって強くなる～ ED,小野賢章,芝ちゃん,
けんちぃ部屋,2026/07/12,48,and I'm home,魔法少女まどか☆マギカ ED,"喜多村英梨,野中藍",るえ,
crom部屋,2026/07/12,48,【SI-VIS： The Sound of Heroes】[第23話IN]MISSION(パート分け有)／SI-VIS〔Semi-On-MVC-Off〕,,,あきらん,よろしくお願いします！
加古部屋,2026/07/12,48,ユニバーサル・バニー【パート分け有】,マクロスF 虚空歌姫～イツワリノウタヒメ～ IN,May'n,レイフ,よろしくお願いします
芝ちゃん部屋,2026/07/12,47,アンビバレント,薬屋のひとりごと OP 2,Uru,ぱにゃ,
けんちぃ部屋,2026/07/12,47,Windmaker,無自覚聖女は今日も無意識に力を垂れ流す OP,花耶,けんちぃ,
加古部屋,2026/07/12,47,lulu.【bb285】,葬送のフリーレン(第2期) OP,Mrs.GREEN APPLE,加古,
crom部屋,2026/07/12,47,アルスの巨獣 (spleeter-on) 名もない花【遥海】,,,crom,
加古部屋,2026/07/12,47,lulu.【bb285】,葬送のフリーレン(第2期) OP,Mrs.GREEN APPLE,加古、ブルーベリー,
芝ちゃん部屋,2026/07/12,46,部屋移動の時間です。,,,システム,
けんちぃ部屋,2026/07/12,46,全力全開!ゼンカイジャー,機界戦隊ゼンカイジャー OP,つるの剛士,wako,特撮歌わねば〜
加古部屋,2026/07/12,46,FANCLUB【2人パート分け有_合唱容易ver_bb316】,霧尾ファンクラブ OP,"スカート,踊Foot Works",みなぴー,
crom部屋,2026/07/12,46,ジョジョの奇妙な冒険「 ジョジョ～その血の運命～」富永TOMMY弘明_2CH,,,wako,よろしくお願いします！
加古部屋,2026/07/12,46,FANCLUB【2人パート分け有_合唱容易ver_bb316】,霧尾ファンクラブ OP,"スカート,踊Foot Works",みなぴー、ブルーベリー,
芝ちゃん部屋,2026/07/12,45,異種族レビュアーズ_スタンク&ゼル&クリムヴェール(間島淳司&小林裕介&富田美憂)_ハナビラ音頭(UVR-on)【ハネケン】,,,みな,
けんちぃ部屋,2026/07/12,45,ピカループ,破産富豪 ED,眞白かのん,みなぴー,
加古部屋,2026/07/12,45,月光花,BLACK JACK OP,Janne Da Arc,みな,
crom部屋,2026/07/12,45,【SI-VIS：The Sound of Heroes 第3話挿入歌】 幻想曲(アラベスク)を君に(cut&コーラス入-on) ／ SI-VIS_けんちぃ_1112,,,藤原,
芝ちゃん部屋,2026/07/12,44,【年齢制限版】【ぬきたし THE ANIMATION OP】 Utopia or Dystopia(cut&コーラス入-on)_青藍島ver(R18)_SP ／ 夢乃ゆき_けんちぃ_1014,,,みぃちゃん,
けんちぃ部屋,2026/07/12,44,禁断のレジスタンス,クロスアンジュ 天使と竜の輪舞 OP 1,水樹奈々,オメガ,
加古部屋,2026/07/12,44,煙とブルー【bb356】,ヤニねこ ED,ネクライトーキー,ブルーベリー,よろしくお願い(*´∀`)ﾉします
crom部屋,2026/07/12,44,[魔法陣グルグル] Too's - MAGIC OF LOVE,,,れい,
芝ちゃん部屋,2026/07/12,43,My Dear SiSTARS!(3パート分け)【Ver.2.0】,大室家 dear sisters OP,"大室櫻子(加藤英美里),大室撫子(斎藤千和),大室花子(日高里菜)",ギン,
けんちぃ部屋,2026/07/12,43,ONENESS,アニメロサマーライブ2005 IM,Roselia,るえ,
加古部屋,2026/07/12,43,,,,小休止,
crom部屋,2026/07/12,43,【灰原くんの強くて青春ニューゲーム OP】 Fly Again!!(cut&コーラス入-on) ／ 前島亜美_けんちぃ_1262,,,crom,1550部屋移動
芝ちゃん部屋,2026/07/12,42,【身内カラオケ用】【炎の孕ませ乳ドルマイ★スター学園Z OP】 孕ませおっぱい！ShiningマイスターZ！(cut&コーラス入-on) ／ ゆん、たまこ、momiji_けんちぃ_1058,,,芝ちゃん,
けんちぃ部屋,2026/07/12,42,星降る夜の約束,領民0人スタートの辺境領主様 ED,花耶,けんちぃ,練習する
加古部屋,2026/07/12,42,憧憬(修正1)【※パート分け(本編1話)】,落第賢者の学院無双～二度目の転生、Sランクチート魔術師冒険録～ Ed,TrySail,あきらん,アニサマの余韻
crom部屋,2026/07/12,42,【愛してるゲームを終わらせたい OP】 君のせいで愛してる(cut&コーラス入-on) ／ CHiCO with HoneyWorks_けんちぃ_1232 キー変更：-5,,,レイフ,
芝ちゃん部屋,2026/07/12,41,よわよわ つよつよ みにみに こわこわ(パート分け)【ver2】,よわよわ先生,鶸村ひより(高野麻里佳)、椋林瑞希(伊駒ゆりえ)、雪下祐樹(篠原侑),えみち,
けんちぃ部屋,2026/07/12,41,I believe what you said キー変更：-2,ひぐらしのなく頃に 業 OP,亜咲花,wako,
加古部屋,2026/07/12,41,ラブ・ドラマティック,かぐや様は告らせたい OP,鈴木雅之,ぱにゃ,
crom部屋,2026/07/12,41,[魔法陣グルグル] 奥井亜紀 - 晴れてハレルヤ,,,ぱにょ,
芝ちゃん部屋,2026/07/12,40,ウィマーマ・サーガ,vtuber IM,しぐれうい(9歳)・しぐれいうい(16歳),みな,ういマーマういマーマ！
けんちぃ部屋,2026/07/12,40,世界でいちばん熱い夏(平成レコーディング 2012mix),ガンバレ!中村くん!! ED6,プリンセス プリンセス,みなぴー,
加古部屋,2026/07/12,40,可愛くてごめん feat. ちゅーたん キー変更：-3,告白実行委員会～恋愛シリーズ～ IM,早見沙織,ゆーき,
crom部屋,2026/07/12,40,ドラゴンクエスト ダイの大冒険 ED_この道わが旅_団時朗_2CH ver02,,,れい,
芝ちゃん部屋,2026/07/12,39,戦場の華,最後にひとつだけお願いしてもよろしいでしょうか OP,CHiCO with HoneyWorks,みぃちゃん,一発ちょっと殴ってもよろしいでしょうか？
けんちぃ部屋,2026/07/12,39,新月のダ・カーポ,白い砂のアクアトープ ED 2,"相沢梨紗,でんぱ組.inc",るえ,
