部屋主,取得日,順番,曲名（ファイル名）,作品名,歌手名,歌った人,コメント
みにゅ部屋,2026/06/08,31,【魔法使いの嫁】月のもう半分／AIKI & AKINO from bless4(on-UVRchorus-cut)※ED2[2パート修正4]crm,,,ミスター,
加古部屋,2026/06/08,31,Anytime Anywhere,葬送のフリーレン ED 1,milet,hiro,
みにゅ部屋,2026/06/08,30,I BELIEVE,,,れい,
加古部屋,2026/06/08,30,絶絶絶絶対聖域【_パート分け】,デッドデッドデーモンズデデデデデストラクション ED,ano feat.幾田りら,れい,
みにゅ部屋,2026/06/08,29,月のもう半分 (off) 魔法使いの嫁,,,ミスター,
加古部屋,2026/06/08,29,透明,氷の城壁 OP,Novelbright,hiro,
みにゅ部屋,2026/06/08,28,【氷の城壁】逆様／ポルカドットスティングレイ(on-off),,,和穂,
加古部屋,2026/06/08,28,逆様,氷の城壁 ED,ポルカドットスティングレイ,hiro,
みにゅ部屋,2026/06/08,27,【本好きの下剋上】Pages ※4期OP(off-弱ボーカル-UVRコーラス入-on) ／Little Glee Monster,,,みにゅ,ミスターさん、他入れたらよろしくお願いします。
加古部屋,2026/06/08,27,透明,氷の城壁 OP,Novelbright,加古,
みにゅ部屋,2026/06/08,26,【火ノ丸相撲】[OP]FIRE GROUND／Official髭男dism(On-Cut)【naoo】,,,れい,
加古部屋,2026/06/08,26,風のアンセム(2人パート),とんがり帽子のアトリエ OP,Eve feat. suis from ヨルシカ,みなぴー,オフボーカルにしてあります。 hiroさんはヨルシカをお願いします。 みなぴーはEveで。
みにゅ部屋,2026/06/08,25,[夢の島思念公園／平沢進]妄想代理人[on-off],,,ミスター,
加古部屋,2026/06/08,25,Glow at the velocity of Light【最終回ver】 キー変更：+4,彼方のアストラ ED 1,安月名莉子,ちゃがま,
みにゅ部屋,2026/06/08,24,キングダム (off-UVRchorus-on) 咆哮【友成空】※第６期シリーズ ED アニメ公式 MV,,,test,>> 大丈夫そうですか？ by ぬこ
加古部屋,2026/06/08,24,クスシキ,薬屋のひとりごと,Mrs. GREEN APPLE,hiro,
みにゅ部屋,2026/06/08,23,射手座☆午後九時Don't be late (off) 劇場版 マクロスF 虚空歌姫-イツワリノウタヒメ-,,,たぁ,
加古部屋,2026/06/08,23,lulu.,葬送のフリーレン(第2期) OP,Mrs.GREEN APPLE,加古,
みにゅ部屋,2026/06/08,22,【多聞くん今どっち！？】 SUPERNOVA ※1話挿入歌 (off-弱ボーカル-UVRコーラス入-on) ／ F／ACE,,,はる,
加古部屋,2026/06/08,22,革命道中 キー変更：+4,ダンダダン(第2期) OP,アイナ・ジ・エンド,ちゃがま,
みにゅ部屋,2026/06/08,21,【DTエイトロン】「おなじ星(画質アップ版)」[ED][Jungle Smile][2tr Off-On],,,ぬこ,
加古部屋,2026/06/08,21,誓い,日本三國 ED,Leina,和穂,
みにゅ部屋,2026/06/08,20,【超宇宙刑事 ギャバンインフィニティ】「LOVE IS THE STRONGEST」[TM][May'n][2tr Off-On],,,みにゅ,
加古部屋,2026/06/08,20,【魔入りました！入間くん 第４シリーズ】《OP》一二三／Penthouse【On-Semi-Off】※パート分け有,,,みなぴー,セミボーカルで入れています。 和穂さんお願いします。
みにゅ部屋,2026/06/08,19,SPY×FAMILY Season 2 (off-UVRchours-on) トドメの一撃 feat. Cory Wong【Vaundy】,,,たぁ,
加古部屋,2026/06/08,19,,,,小休止,
みにゅ部屋,2026/06/08,18,EZ DO DANCE,,,だいすけ,
加古部屋,2026/06/08,18,革命デュアリズム【パート有】,革命機ヴァルヴレイヴ OP 2,"水樹奈々,T.M.Revolution",ミスター,
みにゅ部屋,2026/06/08,17,【杖と剣のウィストリア Season 2】［OP2］BELIEVERS／ASH DA HERO（On-Semi-Mvc-Cut）※アニメ映像ver1.0・1話+番宣映像,,,はる,
加古部屋,2026/06/08,17,Drown,ヴィンランド・サガ VINLAND SAGA ED2,milet,ミスター,
みにゅ部屋,2026/06/08,16,【かぐや様は告らせたい？】DADDY! DADDY! DO!／鈴木雅之 featuring 鈴木愛理（ON）,,,みにゅ,
加古部屋,2026/06/08,16,人生描写,ゴーストコンサート : missing Songs Ed,相葉芹亜(CV:藤寺美徳)&レンブラント(CV:土田玲央),加古,
みにゅ部屋,2026/06/08,15,【魔入りました! 入間くん 第４シーズン】「一二三(パート分け有)」[OP][Penthouse][2tr Off-On],,,ぬこ,
加古部屋,2026/06/08,15,Ex-Otogibanashi【パート分け】,超かぐや姫! IN,かぐや(CV:夏吉ゆうこ),加古,
みにゅ部屋,2026/06/08,14,Body Feels EXIT ※JPOP ライブ集 ／安室奈美恵,,,みにゅ,
加古部屋,2026/06/08,14,Honto,映画ドラえもん 新・のび太の海底鬼岩城 Tm,sumika,加古,
みにゅ部屋,2026/06/08,13,Feel Like dance(DAM PV),,,だいすけ,
加古部屋,2026/06/08,13,Ender Ember【-監視塔の番人-スペシャルムービー・パート分け有り】,Re:ゼロから始める異世界生活 ED6,"MYTH&ROID,TK from 凛として時雨",加古,
みにゅ部屋,2026/06/08,12,【チ。 ―地球の運動について―】［OP］怪獣／サカナクション（On-Semi-Mvc-Vc）※ver3.0・最終話まで,,,たぁ,
加古部屋,2026/06/08,12,修羅日記【Ver2】,異世界失格 OP,伊東歌詞太郎,きっし,
みにゅ部屋,2026/06/08,11,【とんがり帽子のアトリエ OP】 風のアンセム(cut&コーラス入-on)_パート分け ／ Eve feat.suis from ヨルシカ_けんちぃ_1217,,,はる,
加古部屋,2026/06/08,11,かすかなはな【_パート分け】,地獄楽 OP,"キタニタツヤ,BABYMETAL",きっし,
みにゅ部屋,2026/06/08,10,【ホロライブ】「彗星(MV)」[IM][星街すいせい][2tr Off-On],,,ぬこ,
加古部屋,2026/06/08,10,(FHD)スピラ(1 VCut 2 OnVocal)／sekai／魔王2099 ED(2024.10)きっし,,,きっし,
みにゅ部屋,2026/06/08,9,Overnight Sensation,,,みにゅ,
みにゅ部屋,2026/06/08,8,love the island,,,みにゅ,
加古部屋,2026/06/08,8,Playmour,カヤちゃんはコワくない ED,朔雀&導凰,hiro,
みにゅ部屋,2026/06/08,7,【霧尾ファンクラブ】 [OP] FANCLUB／Skirt & ODD Foot Works ※2人パート分け有合唱容易ver bb316 (On-Off),,,みなぴー,
加古部屋,2026/06/08,7,君は恋人【オーイシマサヨシ MV】,お隣の天使様にいつの間にか駄目人間にされていた件 第2期,,れい,
みにゅ部屋,2026/06/08,6,【一般曲】「Once Upon a Time in Love」[-][TUBE × THE ALFEE][2tr Off-On],,,ぬこ,
加古部屋,2026/06/08,6,零-zero【-】,スノウボールアース OP,tuki.,hiro,
みにゅ部屋,2026/06/08,5,FREEDOM,,,みにゅ,
加古部屋,2026/06/08,5,追想のディスペア,ひぐらしのなく頃に奉,いとうかなこ,れい,
みにゅ部屋,2026/06/08,4,【本好きの下剋上】Pages ※4期OP(off-弱ボーカル-UVRコーラス入-on) ／Little Glee Monster,,,みにゅ,
みにゅ部屋,2026/06/08,3,キングダム (off-UVRchorus-on) 咆哮【友成空】※第６期シリーズ ED アニメ公式 MV,,,みにゅ,
加古部屋,2026/06/08,3,ReawakeR【《ver1.3・番宣映像・パート分け有り》】,俺だけレベルアップな件 OP2,"LiSA,Felix of Stray Kids",きっし,
みにゅ部屋,2026/06/08,2,未来への約束 (劇場版「GHOST IN THE SHELL／攻殻機動隊_イメージソング) 樋口沙絵子 (2ch_VC_ON) UVR-MDX版,,,みにゅ,
加古部屋,2026/06/08,2,火種【暫定版】,日本三國 OP,キタニタツヤ,れい,
みにゅ部屋,2026/06/08,1,キングダム (off-UVRchorus-on) 咆哮【友成空】※第６期シリーズ ED アニメ公式 MV,,,みにゅ,
成田部屋,2026/06/07,135,クラクラ,SPY×FAMILY Season 2 OP 3,Ado,よもぎ,
成田部屋,2026/06/07,134,遥か彼方 キー変更：-1,NARUTO-ナルト- OP 2,ASIAN KUNG-FU GENERATION,tk44,
成田部屋,2026/06/07,133,シルベ【Ver2 最終話まで】,勇者パーティを追い出された器用貧乏 OP,常闇トワ,NISHI,
成田部屋,2026/06/07,132,シャボン・テンション!!【アニメ映像 ・パート分け有り】,前橋ウィッチーズ IN,前橋ウィッチーズ,成田,
成田部屋,2026/06/07,131,"悠久ネバーダイ【6パート分け,Ver.1.0(PV+1期2期OP)】",劇場版 ゾンビランドサガ ゆめぎんがパラダイス 劇中歌,フランシュシュ,よもぎ,
成田部屋,2026/06/07,130,花の塔 キー変更：+1,リコリス・リコイル ED,さユり,tk44,
成田部屋,2026/06/07,129,ジョジョの奇妙な冒険 第3部 OP01_STAND PROUD_橋本仁_2CH,し,,NISHI,
成田部屋,2026/06/07,128,Good Morning World!,Dr.STONE OP,BURNOUT SYNDROMES,成田,
成田部屋,2026/06/07,127,風のアンセム(2人パート),とんがり帽子のアトリエ OP,Eve feat. suis from ヨルシカ,よもぎ,
成田部屋,2026/06/07,126,爆ぜて咲く【LIVE=3rd 咆哮の奏 #19】,ガールズバンドクライ,トゲナシトゲアリ,tk44,
成田部屋,2026/06/07,125,unravel,東京喰種 OP,TK from 凛として時雨,NISHI,多分酒焼けで出ない...
成田部屋,2026/06/07,124,Braver Dreamer,SI-VIS The Sound of Heroes,SI-VIS KYOUYA SOUZI,成田,多分独りで歌ってみるか
成田部屋,2026/06/07,123,Cycle Of Sorrow,ガールズバンドクライ,ダイヤモンドダスト,よもぎ,
成田部屋,2026/06/07,122,ハレ晴レユカイ[ダンス練習用(笑)](off vocal),は,平野綾・茅原実里・後藤邑子,tk44,
成田部屋,2026/06/07,121,HOLLOW HUNGER,オーバーロードIV OP,OxT,NISHI,
成田部屋,2026/06/07,120,人誑し/ひとたらし,あかね噺 OP,桑田佳祐,成田,
成田部屋,2026/06/07,119,Don't say lazy,けいおん! ED,桜高軽音部,よもぎ,
成田部屋,2026/06/07,118,後で入れます,,,tk44,
成田部屋,2026/06/07,117,HEART OF SWORD,るろうに剣心,T.M.Revolution,NISHI,
成田部屋,2026/06/07,116,,,,小休止,
成田部屋,2026/06/07,115,ふたりじゃなきゃだめなの,ミラクル☆ガールズ ED,Dio,うさぎ,
成田部屋,2026/06/07,114,Reweave【アニメ映像ver2.0・最終話まで】,Re:ゼロから始める異世界生活 OP,鈴木このみ,HID,
成田部屋,2026/06/07,113,crossing field,ソードアート・オンライン OP,LiSA,よもぎ,
成田部屋,2026/06/07,112,愛の戦士,美少女戦士セーラームーンS,石田よう子,cp,
成田部屋,2026/06/07,111,月にかわっておしおきよ,美少女戦士セーラームーン IN,三石・富沢・久川,うさぎ,
成田部屋,2026/06/07,110,ボタン,ReLIFE OP,PENGUIN RESEARCH,成田,
成田部屋,2026/06/07,109,君がいた物語,.hack//Liminality OP 3,See-Saw,HID,
加古部屋,2026/06/07,108,残酷な天使のテーゼ【_パート分け】,新世紀エヴァンゲリオン OP,高橋洋子,加古,
成田部屋,2026/06/07,108,no man's world【アニメ映像ver2.0・最終話まで】,Dr.STONE ED7,音羽-otoha-,よもぎ,
加古部屋,2026/06/07,107,狂乱 Hey Kids!!,ノラガミ ARAGOTO OP,THE ORAL CIGARETTES,たぁ,
成田部屋,2026/06/07,107,Successful Mission,セイバーマリオネットJ OP,林原めぐみ,cp,
成田部屋,2026/06/07,106,Just be conscious,スレイヤーズRETURN ED,林原めぐみ,うさぎ,
成田部屋,2026/06/07,105,kaleid liner プリズマ☆イリヤ】starlog/ChouCho(On-Off),,【Fate,成田,90年代は分からないので可愛い女の子を入れる〜
成田部屋,2026/06/07,104,Give a reason,スレイヤーズNEXT OP 1,林原めぐみ,HID,
成田部屋,2026/06/07,103,Get along,スレイヤーズ OP 1,"林原めぐみ,奥井雅美",うさぎ,
成田部屋,2026/06/07,102,Catch You Catch Me,カードキャプターさくら OP,グミ,cp,
成田部屋,2026/06/07,101,扉をあけて,カードキャプターさくら OP 2,ANZA,うさぎ,
成田部屋,2026/06/07,100,シャケナベイベー,マリッジトキシン ED,AKASAKI,成田,
成田部屋,2026/06/07,99,Recollect【・仮歌詞・アニメ映像ver1.0・4話まで・パート分け有り】,Re:ゼロから始める異世界生活 OP6,"鈴木このみ,Ashnikko",HID,
成田部屋,2026/06/07,98,MONSTER,ようこそ実力至上主義の教室へ 4th Season 2年生編1学期,藍井エイル,よもぎ,
成田部屋,2026/06/07,97,“らしく”いきましょ,スペシャルプレゼント 亜美ちゃんの初恋 美少女戦士セーラームーンSupersS外伝 ED,Meu,cp,
成田部屋,2026/06/07,96,セーラースターソング,劇場版 美少女戦士セーラームーンCosmos Op,セーラー火球など,うさぎ,
成田部屋,2026/06/07,95,Spicy Girl,Di Gi Charat IM,沢城みゆき,うさぎ,
成田部屋,2026/06/07,94,ずっと1番にしてね キー変更：-2,クラスで2番目に可愛い女の子と友だちになった ED,コレサワ,ゆーき,
成田部屋,2026/06/07,93,INTERNET ANGEL,NEEDY GIRL OVERDOSE OP,川口莉奈,ゆに,
成田部屋,2026/06/07,92,夢見れば夢も夢じゃない,魔法少女プリティサミー,横山智佐 with 小桜エツ子,うさぎ,
成田部屋,2026/06/07,91,INTERNET OVERDOSE【MV】,NEEDY GIRL OVERDOSE TM,KOTOKO,タカヒロ,
成田部屋,2026/06/07,90,あぶく キー変更：-2,LIAR GAME ライアーゲーム Op,ヨルシカ,ゆーき,
成田部屋,2026/06/07,89,204号室,彼女、お借りします 第5期 ED,なきごと,ゆに,
成田部屋,2026/06/07,88,MELODEA【_MV版】,SI-VIS:The Sound of Heroes 挿入歌,SI-VIS,成田,
成田部屋,2026/06/07,87,翼,アルスラーン戦記 風塵乱舞,藍井エイル,タカヒロ,
成田部屋,2026/06/07,86,BELIEVERS【アニメ映像ver1.0・1話+番宣映像】,杖と剣のウィストリア OP2,ASH DA HERO,ゆに,
成田部屋,2026/06/07,85,あわ キー変更：-2,レプリカだって、恋をする。 ED,asmi,ゆーき,矢印の主張が強いです()
crom部屋,2026/06/07,85,Wish,D.Gray-man ED,Sowelu,crom,
成田部屋,2026/06/07,84,BELIEVERS【本人映像】,杖と剣のウィストリア OP2,ASH DA HERO,ゆに,
crom部屋,2026/06/07,84,R・I・O・T,BanG Dream! 2nd season IN,RAISE A SUILEN,タカヒロ,
成田部屋,2026/06/07,83,飛ぶ時,黄泉のツガイ OP,Vaundy,成田,初練習
crom部屋,2026/06/07,83,愛にできることはまだあるかい【劇場予告映像で作成】,天気の子 Weathering With You ED,RADWIMPS,るえ,
成田部屋,2026/06/07,82,STAY WITH YOU,HoneyWorks,CHiCO with HoneyWorks,タカヒロ,
crom部屋,2026/06/07,82,ブラックボックス【LiSA MV】,NieR:Automata Ver1.1a 第2クール,,crom,
成田部屋,2026/06/07,81,【超かぐや姫!】 [IN] 私は私のことが好き／かぐや(CV夏吉ゆうこ) bb276 (On-Off) キー変更：-2,,,ゆーき,
crom部屋,2026/06/07,81,NewGame【映像修正】,神は遊戯に飢えている,AliA,タカヒロ,
成田部屋,2026/06/07,80,カミノシズク,神の雫 ED,内田真礼,ゆに,
crom部屋,2026/06/07,80,[ED]おかあさんの唄,おおかみこどもの雨と雪,アン・サリー,るえ,
成田部屋,2026/06/07,79,瞬間、シンフォニー。,超かぐや姫! IN,かぐや(CV:夏吉ゆうこ),成田,
芝ちゃん部屋,2026/06/07,79,サムライハート,鎧伝サムライトルーパー OP2,森口博子,芝ちゃん,
crom部屋,2026/06/07,79,助けてくれてありがとう,勇者パーティーにかわいい子がいたので、告白してみた。 8話IN,ハピネス、シケ、ミサキ,crom,いける人よろしく・・・いないとおもうけど^^
成田部屋,2026/06/07,78,やわやわNERD 超FreQuency【パート分け】 キー変更：-3,一畳間まんきつ暮らし! ED,夢限大みゅーたいぷ,test,
芝ちゃん部屋,2026/06/07,78,DIVE TO WORLD【パート分け有】,家庭教師ヒットマンREBORN,CHERRYBLOSSOM,ゆうき,
crom部屋,2026/06/07,78,こころのたまご,しゅごキャラ! OP 1,Buono!,タカヒロ,
成田部屋,2026/06/07,77,光,忍の一時 OP,ハンブレッダーズ,ゆに,
芝ちゃん部屋,2026/06/07,77,Runner,鎧真伝サムライトルーパー IN,妖者BAND,芝ちゃん,
crom部屋,2026/06/07,77,ちびまる子ちゃん 第1期OP_ゆめいっぱい_関ゆみ子_2CH,ち,,るえ,
成田部屋,2026/06/07,76,,,,小休止,
芝ちゃん部屋,2026/06/07,76,しあわせフレーバー【パート分け】,メイドさんは食べるだけ ED,ARCANA PROJECT,ゆうき,
crom部屋,2026/06/07,76,ハナノイロ,花咲くいろは,nano.RIPE,crom,
成田部屋,2026/06/07,75,Little Busters! ～TV animation ver.～ キー変更：+1,リトルバスターズ!,Rita,tk44,
芝ちゃん部屋,2026/06/07,75,お気楽浄土へ,鎧真伝サムライトルーパー IN,ROCKハラ短大,芝ちゃん,
crom部屋,2026/06/07,75,ガンダムビルドファイターズwimp ft.Lil'Fang BACK-ON,か,,タカヒロ,
成田部屋,2026/06/07,74,Crow Song,Angel Beats! IN 第1話,Girls Dead Monster,NISHI,さけやけっ！
芝ちゃん部屋,2026/06/07,74,【29歳独身中堅冒険者の日常】「君がともしてくれた光を今(feat.Hanon)」[Op][MARUMOCHI from HoneyWorks][アニメ][悠季](On-Off)※MV版 キー変更：-3,,,ゆうき,
crom部屋,2026/06/07,74,面影ワープ,花咲くいろは OP 2,nano.RIPE,るえ,
成田部屋,2026/06/07,73,まなざしは光【最終話反映】,薫る花は凛と咲く OP,キタニタツヤ,みぃちゃん,昨日まだ歌えてなかった。
芝ちゃん部屋,2026/06/07,73,【鎧伝サムライトルーパー】「サムライハート ～烈火～」[IM][草尾 毅][2tr Off-On],,,芝ちゃん,
crom部屋,2026/06/07,73,声の軌跡【Ver3】 キー変更：-1,真夜中ハートチューン,Soala,crom,最高音チャレンジ
成田部屋,2026/06/07,72,Bravely You,Charlotte,Lia,団長,
芝ちゃん部屋,2026/06/07,72,【29歳独身中堅冒険者の日常】「君の隣は空気が美味しい(feat.Kotoha)」[Ed][MARUMOCHI from HoneyWorks][アニメ][悠季](On-Off)※MV版 キー変更：-4,,,ゆうき,
crom部屋,2026/06/07,72,グライド,終末ツーリング ED,Myuk,HID,
成田部屋,2026/06/07,71,燈,呪術廻戦 懐玉・玉折 ED 3,崎山蒼志,tk44,
芝ちゃん部屋,2026/06/07,71,【鎧真伝 サムライトルーパー】「My Revolution」[IN][妖者BAND][2tr Off-On],,,芝ちゃん,
crom部屋,2026/06/07,71,Maze【パート有】,PandoraHearts ED 1,savage genius,タカヒロ,
成田部屋,2026/06/07,70,かすかなはな【アニメ映像ver3.1・最終話まで・パート分け有り】,地獄楽 OP,"キタニタツヤ,BABYMETAL",成田,みぃちゃんお願いします >> ほーい by みぃちゃん
芝ちゃん部屋,2026/06/07,70,【ホロライブ】「めくるめくランデヴー」[IM]FUWAMOCO][2tr Off-On],,,ゆうき,
crom部屋,2026/06/07,70,Love Power,乙女はお姉さまに恋してる OP,Aice⁵,るえ,
成田部屋,2026/06/07,69,CASANOVA POSSE【アニメ映像ver3.0・最終話まで】,Dr.STONE OP,ALI,NISHI,
芝ちゃん部屋,2026/06/07,69,一二三【パート分け有】,魔入りました! 入間くん 第4シーズン OP,Penthouse,芝ちゃん,
crom部屋,2026/06/07,69,[Revive／ClariS]勇者のクズ[on-off],,,crom,onでー　いける人よろしくおねがいします。
成田部屋,2026/06/07,68,エゴ,悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。Season2 OP,レトロリロン,みぃちゃん,
芝ちゃん部屋,2026/06/07,68,ノンシナリオ・エチュード キー変更：-2,彼女、お借りします 第5期 OP,雨宮天,ゆうき,
crom部屋,2026/06/07,68,ギフト,お隣の天使様にいつの間にか駄目人間にされていた件 OP,オーイシマサヨシ,HID,
成田部屋,2026/06/07,67,Future Strike,ViVid Strike! Thou shalt not be afraid I am with you OP,小倉唯,団長,
芝ちゃん部屋,2026/06/07,67,君を通して,彼女、お借りします In,雨宮天,芝ちゃん,
crom部屋,2026/06/07,67,ray 超かぐや姫! Version(パート分け),超かぐや姫! ED,月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ),タカヒロ,
成田部屋,2026/06/07,66,アンバランスなKissをして,幽☆遊☆白書 ED 3,高橋ひろ,tk44,
芝ちゃん部屋,2026/06/07,66,渇望【※パート分け】 キー変更：-4,転生したらスライムだった件 Ed,CiON,ゆうき,
crom部屋,2026/06/07,66,Ciao CIao(修正1)【※仮パート分け】 キー変更：-3,一畳間まんきつ暮らし! Op,Sophià la Mode,ゆーき,
成田部屋,2026/06/07,65,ROCKET【アニメ映像ver1.0・2話+番宣映像】,Dr.STONE ED8,BURNOUT SYNDROMES,成田,
芝ちゃん部屋,2026/06/07,65,はかりたい好感度【プレミアム版】,茉莉花ちゃんの好感度はぶっ壊れている Tm,千歳茉莉花(CV内田真礼),芝ちゃん,
crom部屋,2026/06/07,65,ホロウ【Ver2】,魔王2099 OP,シユイ,crom,1720部屋移動
成田部屋,2026/06/07,64,ウザ可愛くて何が悪い!,友達の妹が俺にだけウザい OP,赤見かるび,みぃちゃん,
芝ちゃん部屋,2026/06/07,64,ずっと1番にしてね(修正1) キー変更：-2,クラスで2番目に可愛い女の子と友達になった Ed,コレサワ,ゆうき,
crom部屋,2026/06/07,64,[Op]What's a Hero? キー変更：-3,ニワトリ・ファイター,DARUMA Rollin',ゆーき,英語がまだ覚えきれてない()
成田部屋,2026/06/07,63,Ignis -イグニス-【最終話まで】,炎炎ノ消防隊 参ノ章 OP6,西川貴教,NISHI,
crom部屋,2026/06/07,63,飛ぶ時,黄泉のツガイ OP,Vaundy,ゆに,
成田部屋,2026/06/07,62,宝箱 -TREASURE BOX-,SHIROBAKO OP2,奥井雅美,団長,
芝ちゃん部屋,2026/06/07,62,スキンズ【アニメ映像ver1.0・1話+番宣映像】,Dr.STONE OP8,ASIAN KUNG-FU GENERATION,NISHI,
crom部屋,2026/06/07,62,修羅日記,異世界失格 OP,伊東歌詞太郎,みぃちゃん,
成田部屋,2026/06/07,61,迷星叫,BanG Dream! IM,MyGO!!!!!,tk44,大好きな曲です！
芝ちゃん部屋,2026/06/07,61,曇天,銀魂,,tk44,
crom部屋,2026/06/07,61,ヰタ・フィロソフィカ,わたしの幸せな結婚 ED 1,伊東歌詞太郎,crom,
成田部屋,2026/06/07,60,あと,,,test,
芝ちゃん部屋,2026/06/07,60,ありがと、大好きになってくれて【パート分け】,君のことが大大大大大好きな100人の彼女 OP,恋太郎ファミリー,芝ちゃん,
crom部屋,2026/06/07,60,We're Loose Stars(TV.size)歌詞修正,ニワトリ・ファイター ED,高橋哲也&Rooster Fighter,ゆーき,フルサイズ歌いので早く出してください！！
成田部屋,2026/06/07,59,祝福,機動戦士ガンダム 水星の魔女 OP1,YOASOBI,tk44,よろしくお願いします！
